"publication_name";"publication_url";"tome";"year";"url"
"Optimizing the Efficiency, Vulnerability and Robustness of Road-Based Para-Transit Networks Using Genetic Algorithm";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_1";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"On the Configuration of Robust Static Parallel Portfolios for Efficient Plan Generation";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_2";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"SDF-Net: Real-Time Rigid Object Tracking Using a Deep Signed Distance Network";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_3";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Insider Threat Detection with Deep Neural Network";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_4";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Pheromone Model Based Visualization of Malware Distribution Networks";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_5";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Detecting Wildlife in Unmanned Aerial Systems Imagery Using Convolutional Neural Networks Trained with an Automated Feedback Loop";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_6";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Incentive Mechanism for Cooperative Intrusion Detection: An Evolutionary Game Approach";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_7";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Hybrid Genetic Algorithm for an On-Demand First Mile Transit System Using Electric Vehicles";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_8";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Comprehensive Learning Gene Expression Programming for Automatic Implicit Equation Discovery";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_9";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Multi-population Genetic Algorithm for Cardinality Constrained Portfolio Selection Problems";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_10";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Recognition and Classification of Rotorcraft by Micro-Doppler Signatures Using Deep Learning";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_11";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Data Allocation Based on Evolutionary Data Popularity Clustering";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_12";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Hyper-heuristic Online Learning for Self-assembling Swarm Robots";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_13";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"An Innovative Heuristic for Planning-Based Urban Traffic Control";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_14";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Automatic Web News Extraction Based on DS Theory Considering Content Topics";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_15";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"DomainObserver: A Lightweight Solution for Detecting Malicious Domains Based on Dynamic Time Warping";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_16";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
