('Different Strategies of Fitting Logistic Regression for Positive and Unlabelled Data', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_1')
('Branch-and-Bound Search for Training Cascades of Classifiers', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_2')
('Application of the Stochastic Gradient Method in the Construction of the Main Components of PCA in the Task Diagnosis of Multiple Sclerosis in Children', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_3')
('Grammatical Inference by Answer Set Programming', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_4')
('Dynamic Classifier Selection for Data with Skewed Class Distribution Using Imbalance Ratio and Euclidean Distance', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_5')
('On Model Evaluation Under Non-constant Class Imbalance', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_6')
('A Correction Method of a Base Classifier Applied to Imbalanced Data Classification', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_7')
('Standard Decision Boundary in a Support-Domain of Fuzzy Classifier Prediction for the Task of Imbalanced Data Classification', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_8')
('Employing One-Class SVM Classifier Ensemble for Imbalanced Data Stream Classification', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_9')
('Clustering and Weighted Scoring in Geometric Space Support Vector Machine Ensemble for Highly Imbalanced Data Classification', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_10')
('Performance Analysis of Binarization Strategies for Multi-class Imbalanced Data Classification', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_11')
('Towards Network Anomaly Detection Using Graph Embedding', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_12')
('Maintenance and Security System for PLC Railway LED Sign Communication Infrastructure', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_13')
('Fingerprinting of URL Logs: Continuous User Authentication from Behavioural Patterns', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_14')
('On the Impact of Network Data Balancing in Cybersecurity Applications', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_15')
('Pattern Recognition Model to Aid the Optimization of Dynamic Spectrally-Spatially Flexible Optical Networks', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_16')
('Missing Features Reconstruction Using a Wasserstein Generative Adversarial Imputation Network', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_17')
('Cooperation for Public Goods Under Uncertainty', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_18')
('An Information-Theoretic and Dissipative Systems Approach to the Study of Knowledge Diffusion and Emerging Complexity in Innovation Systems', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_19')
('Mapping the Port Influence Diffusion Patterns: A Case Study of Rotterdam, Antwerp and Singapore', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_20')
('Entropy-Based Measure for Influence Maximization in Temporal Networks', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_21')
('Evaluation of the Costs of Delayed Campaigns for Limiting the Spread of Negative Content, Panic and Rumours in Complex Networks', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_22')
('From Generality to Specificity: On Matter of Scale in Social Media Topic Communities', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_23')
('Hybrid Text Feature Modeling for Disease Group Prediction Using Unstructured Physician Notes', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_24')
('Early Signs of Critical Slowing Down in Heart Surface Electrograms of Ventricular Fibrillation Victims', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_25')
('A Comparison of Generalized Stochastic Milevsky-Promislov Mortality Models with Continuous Non-Gaussian Filters', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_26')
('Ontology-Based Inference for Supporting Clinical Decisions in Mental Health', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_27')
('Towards Prediction of Heart Arrhythmia Onset Using Machine Learning', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_28')
('Stroke ICU Patient Mortality Day Prediction', 'https://link.springer.com/chapter/10.1007/978-3-030-50423-6_29')
