('Improving the Resiliency of Decentralized Crowdsourced Blockchain Oracles', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_1')
('Characterization of Pedestrian Contact Interaction Trajectories', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_2')
('Siamese Autoencoder-Based Approach for Missing Data Imputation', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_3')
('An Intelligent Transportation System for Tsunamis Combining CEP, CPN and Fuzzy Logic', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_4')
('Downscaling WRF-Chem: Analyzing Urban Air Quality in Barcelona City', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_5')
('Influence of Activation Functions on the Convergence of Physics-Informed Neural Networks for 1D Wave Equation', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_6')
('Accelerating Multivariate Functional Approximation Computation with Domain Decomposition Techniques', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_7')
('User Popularity Preference Aware Sequential Recommendation', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_8')
('Data Heterogeneity Differential Privacy: From Theory to Algorithm', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_9')
('Inference of Over-Constrained NFA of Size \\(k+1\\) to Efficiently and Systematically Derive NFA of Size k for Grammar Learning', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_10')
('Differential Dataset Cartography: Explainable Artificial Intelligence in Comparative Personalized Sentiment Analysis', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_11')
('Alternative Platforms and Privacy Paradox: A System Dynamics Analysis', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_12')
('The First Scientiffic Evidence for the Hail Cannon', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_13')
('Constituency Parsing with Spines and Attachments', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_14')
('Performing Aerobatic Maneuver with Imitation Learning', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_15')
('An Application of Evolutionary Algorithms and Machine Learning in Four-Part Harmonization', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_16')
('Predicting ABM Results with Covering Arrays and Random Forests', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_17')
('Vecpar – A Framework for Portability and Parallelization', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_18')
('Self-supervised Deep Heterogeneous Graph Neural Networks with Contrastive Learning', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_19')
('First-Principles Calculation to N-type Beryllium Related Co-doping and Beryllium Doping in Diamond', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_20')
('Machine Learning Detects Anomalies in OPS-SAT Telemetry', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_21')
('Wildfire Perimeter Detection via Iterative Trimming Method', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_22')
('Variable Discovery with Large Language Models for Metamorphic Testing of Scientific Software', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_23')
('On Irregularity Localization for Scientific Data Analysis Workflows', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_24')
('RAFEN – Regularized Alignment Framework for Embeddings of Nodes', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_25')
('CLARIN-Emo: Training Emotion Recognition Models Using Human Annotation and ChatGPT', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_26')
('-FedGAN: Balanced Bi-directional Federated GAN', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_27')
('Graph-Level Representations Using Ensemble-Based Readout Functions', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_28')
('Parallel Adjoint Taping Using MPI', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_29')
('A Moral Foundations Dictionary for the European Portuguese Language: The Case of Portuguese Parliamentary Debates', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_30')
('Towards Automatic Generation of Digital Twins: Graph-Based Integration of Smart City Datasets', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_31')
('Forecasting Cryptocurrency Prices Using Contextual ES-adRNN with Exogenous Variables', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_32')
('Enhanced Emotion and Sentiment Recognition for Empathetic Dialogue System Using Big Data and Deep Learning Methods', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_33')
('Automatic Delta-Adjustment Method Applied to Missing Not At Random Imputation', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_34')
('Data Integration Landscapes: The Case for Non-optimal Solutions in Network Diffusion Models', 'https://link.springer.com/chapter/10.1007/978-3-031-35995-8_35')
