('Automated Identification and Location of Three Dimensional Atmospheric Frontal Systems', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_1')
('Digital Twin Simulation Development and Execution on HPC Infrastructures', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_2')
('Numerical Simulation of the Octorotor Flying Car in Sudden Rotor Stop', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_3')
('Experimental Study of a Parallel Iterative Solver for Markov Chain Modeling', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_4')
('Impact of Mixed-Precision: A Way to Accelerate Data-Driven Forest Fire Spread Systems', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_5')
('RL-MAGE: Strengthening Malware Detectors Against Smart Adversaries', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_6')
('Online Runtime Environment Prediction for Complex Colocation Interference in Distributed Streaming Processing', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_7')
('On the Impact of Noisy Labels on Supervised Classification Models', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_8')
('Improving Patients’ Length of Stay Prediction Using Clinical and Demographics Features Enrichment', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_9')
('Compiling Tensor Expressions into Einsum', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_10')
('r-softmax: Generalized Softmax with Controllable Sparsity Rate', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_11')
('Solving Uncertainly Defined Curvilinear Potential 2D BVPs by the IFPIES', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_12')
('Improving LocalMaxs Multiword Expression Statistical Extractor', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_13')
('PIES in Multi-region Elastic Problems Including Body Forces', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_14')
('Fine-Tuning Large Language Models for Answering Programming Questions with Code Snippets', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_15')
('Introducing a Computational Method to Retrofit Damaged Buildings under Seismic Mainshock-Aftershock Sequence', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_16')
('Hierarchical Classification of Adverse Events Based on Consumer’s Comments', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_17')
('Estimating Chlorophyll Content from Hyperspectral Data Using Gradient Features', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_18')
('Image Recognition of Plants and Plant Diseases with Transfer Learning and Feature Compression', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_19')
('TwitterEmo: Annotating Emotions and Sentiment in Polish Twitter', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_20')
('Timeseries Anomaly Detection Using SAX and Matrix Profiles Based Longest Common Subsequence', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_21')
('Korpusomat.eu: A Multilingual Platform for Building and Analysing Linguistic Corpora', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_22')
('What Will Happen When We Radically Simplify t-SNE and UMAP Visualization Algorithms? Is It Worth Doing So?', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_23')
('Fast Electromagnetic Field Pattern Calculation with Fourier Neural Operators', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_24')
('Elements of Antirival Accounting with sNFT', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_25')
('Learning Shape-Preserving Autoencoder for the Reconstruction of Functional Data from Noisy Observations', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_26')
('Attribute Relevance and Discretisation in Knowledge Discovery: A Study in Stylometric Domain', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_27')
('Bayesian Networks for Named Entity Prediction in Programming Community Question Answering', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_28')
('Similarity-Based Memory Enhanced Joint Entity and Relation Extraction', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_29')
('Solving Complex Sequential Decision-Making Problems by Deep Reinforcement Learning with Heuristic Rules', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_30')
('Weighted Hamming Metric and KNN Classification of Nominal-Continuous Data', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_31')
('Application of Genetic Algorithm to Load Balancing in Networks with a Homogeneous Traffic Flow', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_32')
('Automatic Structuring of Topics for Natural Language Generation in Community Question Answering in Programming Domain', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_33')
('Modelling the Interplay Between Chronic Stress and Type 2 Diabetes On-Set', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_34')
('How to Select Superior Neural Network Simulating Inner City Contaminant Transport? Verification and Validation Techniques', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_35')
('DeBERTNeXT: A Multimodal Fake News Detection Framework', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_36')
('Optimization and Comparison of Coordinate- and Metric-Based Indexes on GPUs for Distance Similarity Searches', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_37')
('Sentiment Analysis Using Machine Learning Approach Based on Feature Extraction for Anxiety Detection', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_38')
('Efficiency Analysis for AI Applications in HPC Systems. Case Study: K-Means', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_39')
('A New Algorithm for the Closest Pair of Points for Very Large Data Sets Using Exponent Bucketing and Windowing', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_40')
('Heart Rate-Based Identification of Users of IoT Wearables: A Supervised Learning Approach', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_41')
('Transferable Keyword Extraction and Generation with Text-to-Text Language Models', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_42')
('Adsorption and Thermal Stability of Hydrogen Terminationṇ on Diamond Surface: A First-Principles Study', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_43')
('Exploring Counterfactual Explanations for Predicting Student Success', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_44')
('Development of 3D Viscoelastic Crustal Deformation Analysis Solver with Data-Driven Method on GPU', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_45')
('Implementation of Coupled Numerical Analysis of Magnetospheric Dynamics and Spacecraft Charging Phenomena via Code-To-Code Adapter (CoToCoA) Framework', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_46')
('Improving Group Lasso for High-Dimensional Categorical Data', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_47')
('Actor-Based Scalable Simulation of N-Body Problem', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_48')
('Intracellular Material Transport Simulation in Neurons Using Isogeometric Analysis and Deep Learning', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_49')
('Chemical Mixing Simulations with Integrated AI Accelerator', 'https://link.springer.com/chapter/10.1007/978-3-031-36021-3_50')
