('Balancing Agents for Mining Imbalanced Multiclass Datasets – Performance Evaluation', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_1')
('Decision Tree-Based Algorithms for Detection of Damage in AIS Data', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_2')
('The Role of Conformity in Opinion Dynamics Modelling with Multiple Social Circles', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_3')
('Impact of Input Data Preparation on Multi-criteria Decision Analysis Results', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_4')
('Automating the Analysis of Institutional Design in International Agreements', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_5')
('An Approach for Probabilistic Modeling and Reasoning of Voting Networks', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_7')
('An Analysis of Political Parties Cohesion Based on Congressional Speeches', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_8')
('Comparative Study of Meta-heuristic Algorithms for Damage Detection Problem', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_9')
('Estimation of the Impact of COVID-19 Pandemic Lockdowns on Breast Cancer Deaths and Costs in Poland Using Markovian Monte Carlo Simulation', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_10')
('Machine Learning for Risk Stratification of Diabetic Foot Ulcers Using Biomarkers', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_11')
('A Robust Machine Learning Protocol for Prediction of Prostate Cancer Survival at Multiple Time-Horizons', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_12')
('Supervised Machine Learning Techniques Applied to Medical Records Toward the Diagnosis of Rare Autoimmune Diseases', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_13')
('Handwriting Analysis AI-Based System for Assisting People with Dysgraphia', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_14')
('Universal Machine-Learning Processing Pattern for Computing in the Video-Oculography', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_15')
('RuMedSpellchecker: Correcting Spelling Errors for Natural Russian Language in Electronic Health Records Using Machine Learning Techniques', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_16')
('Named Entity Recognition for De-identifying Real-World Health Records in Spanish', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_17')
('Discovering Process Models from Patient Notes', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_18')
('Knowledge Hypergraph-Based Multidimensional Analysis for Natural Language Queries: Application to Medical Data', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_19')
('Coupling Between a Finite Element Model of Coronary Artery Mechanics and a Microscale Agent-Based Model of Smooth Muscle Cells Through Trilinear Interpolation', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_20')
('Does Complex Mean Accurate: Comparing COVID-19 Propagation Models with Different Structural Complexity', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_21')
('Multi-granular Computing Can Predict Prodromal Alzheimer’s Disease Indications in Normal Subjects', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_22')
('Accounting for Data Uncertainty in Modeling Acute Respiratory Infections: Influenza in Saint Petersburg as a Case Study', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_23')
('A Web Portal for Real-Time Data Quality Analysis on the Brazilian Tuberculosis Research Network: A Case Study', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_24')
('Use of Decentralized-Learning Methods Applied to Healthcare: A Bibliometric Analysis', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_25')
('Simulating Initial Steps of Platelet Aggregate Formation in a Cellular Blood Flow Environment', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_26')
('Estimating Parameters of 3D Cell Model Using a Bayesian Recursive Global Optimizer (BaRGO)', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_27')
('A Novel High-Throughput Framework to Quantify Spatio-Temporal Tumor Clonal Dynamics', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_28')
('Expedited Metaheuristic-Based Antenna Optimization Using EM Model Resolution Management', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_29')
('Dynamic Core Binding for Load Balancing of Applications Parallelized with MPI/OpenMP', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_30')
('Surrogate-Assisted Ship Route Optimisation', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_31')
('Optimization of Asynchronous Logging Kernels for a GPU Accelerated CFD Solver', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_32')
('Constrained Aerodynamic Shape Optimization Using Neural Networks and Sequential Sampling', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_33')
('Optimal Knots Selection in Fitting Degenerate Reduced Data', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_34')
('A Case Study of the Profit-Maximizing Multi-Vehicle Pickup and Delivery Selection Problem for the Road Networks with the Integratable Nodes', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_35')
('Symbolic-Numeric Computation in Modeling the Dynamics of the Many-Body System TRAPPIST', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_36')
('Transparent Checkpointing for Automatic Differentiation of Program Loops Through Expression Transformations', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_37')
('Performance of Selected Nature-Inspired Metaheuristic Algorithms Used for Extreme Learning Machine', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_38')
('Simulation‒Based Optimisation Model as an Element of a Digital Twin Concept for Supply Chain Inventory Control', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_39')
('Semi-supervised Learning Approach to Efficient Cut Selection in the Branch-and-Cut Framework', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_40')
('Efficient Uncertainty Quantification Using Sequential Sampling-Based Neural Networks', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_41')
('Hierarchical Learning to Solve PDEs Using Physics-Informed Neural Networks', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_42')
('SPMD-Based Neural Network Simulation with Golang', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_43')
('Low-Cost Behavioral Modeling of Antennas by Dimensionality Reduction and Domain Confinement', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_44')
('Real-Time Reconstruction of Complex Flow in Nanoporous Media: Linear vs Non-linear Decoding', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_45')
('Model of Perspective Distortions for a Vision Measuring System of Large-Diameter Bent Pipes', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_46')
('Outlier Detection Under False Omission Rate Control', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_47')
('Minimal Path Delay Leading Zero Counters on Xilinx FPGAs', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_48')
('Reduction of the Computational Cost of Tuning Methodology of a Simulator of a Physical System', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_49')
('A Hypergraph Model and Associated Optimization Strategies for Path Length-Driven Netlist Partitioning', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_50')
('Graph TopoFilter: A Method for Noisy Labels Detection for Graph-Structured Classes', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_51')
('Dynamic Data Replication for Short Time-to-Completion in a Data Grid', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_52')
('Detection of Anomalous Days in Energy Demand Using Leading Point Multi-regression Model', 'https://link.springer.com/chapter/10.1007/978-3-031-36024-4_53')
